algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
UCS,7,5035,63,63,0.01436305046081543,True,1
A*,7,919,63,63,0.0026776790618896484,True,1
RANDOM,7,11,0,0,2.6464462280273438e-05,False,2
BFS,7,5035,63,333,0.010913372039794922,True,2
DFS,7,3195,2911,8401,0.008812665939331055,True,2
DLS50,7,1004,0,0,0.0017104148864746094,False,2
DLS75,7,1569,0,0,0.0046427249908447266,False,2
DLS100,7,1499,0,0,0.003329753875732422,False,2
UCS,7,4537,63,333,0.01367044448852539,True,2
A*,7,919,63,333,0.0029900074005126953,True,2
RANDOM,8,8,0,0,1.8596649169921875e-05,False,1
BFS,8,3107,48,48,0.006504058837890625,True,1
DFS,8,2913,2766,2766,0.008081674575805664,True,1
DLS50,8,759,0,0,0.0013306140899658203,False,1
DLS75,8,1630,0,0,0.004966259002685547,False,1
DLS100,8,1117,0,0,0.002456188201904297,False,1
UCS,8,3107,48,48,0.008693456649780273,True,1
A*,8,414,48,48,0.0012221336364746094,True,1
RANDOM,8,31,0,0,8.344650268554688e-05,False,2
BFS,8,3107,48,174,0.006632804870605469,True,2
DFS,8,2913,2766,8112,0.008365631103515625,True,2
DLS50,8,759,0,0,0.0013267993927001953,False,2
DLS75,8,1630,0,0,0.005188465118408203,False,2
DLS100,8,1117,0,0,0.0025806427001953125,False,2
UCS,8,2643,48,174,0.008179664611816406,True,2
A*,8,414,48,174,0.0012655258178710938,True,2
RANDOM,9,12,0,0,3.6716461181640625e-05,False,1
BFS,9,6591,101,101,0.014472007751464844,True,1
DFS,9,434,423,423,0.00119781494140625,True,1
DLS50,9,968,0,0,0.0016782283782958984,False,1
DLS75,9,1676,0,0,0.005086421966552734,False,1
DLS100,9,2474,0,0,0.005232572555541992,False,1
UCS,9,6591,101,101,0.01896190643310547,True,1
A*,9,799,101,101,0.002526998519897461,True,1
RANDOM,9,14,0,0,4.863739013671875e-05,False,2
BFS,9,6591,101,209,0.014069318771362305,True,2
DFS,9,434,423,999,0.0011966228485107422,True,2
DLS50,9,968,0,0,0.0016820430755615234,False,2
DLS75,9,1676,0,0,0.005044221878051758,False,2
DLS100,9,2474,0,0,0.005189418792724609,False,2
UCS,9,2999,101,209,0.009734153747558594,True,2
A*,9,837,101,209,0.0027332305908203125,True,2
RANDOM,10,100,0,0,0.00030803680419921875,False,1
BFS,10,4057,64,64,0.008395910263061523,True,1
DFS,10,4736,4436,4436,0.03769946098327637,True,1
DLS50,10,1650,0,0,0.003355264663696289,False,1
DLS75,10,2720,0,0,0.009016990661621094,False,1
DLS100,10,1548,94,94,0.0037848949432373047,True,1
UCS,10,4057,64,64,0.013560295104980469,True,1
A*,10,885,64,64,0.003175497055053711,True,1
RANDOM,10,57,0,0,0.00032973289489746094,False,2
BFS,10,4057,64,316,0.00967097282409668,True,2
DFS,10,4736,4436,13256,0.01392674446105957,True,2
DLS50,10,1650,0,0,0.002895832061767578,False,2
DLS75,10,2720,0,0,0.00754237174987793,False,2
DLS100,10,1548,94,400,0.003374338150024414,True,2
UCS,10,3902,64,316,0.013225078582763672,True,2
A*,10,885,64,316,0.0030875205993652344,True,2
RANDOM,11,18,0,0,9.489059448242188e-05,False,1
BFS,11,2904,57,57,0.006218910217285156,True,1
DFS,11,1032,965,965,0.0027589797973632812,True,1
DLS50,11,335,0,0,0.0005941390991210938,False,1
DLS75,11,514,0,0,0.0014719963073730469,False,1
DLS100,11,569,0,0,0.0013887882232666016,False,1
UCS,11,2904,57,57,0.008156776428222656,True,1
A*,11,223,57,57,0.0007071495056152344,True,1
RANDOM,11,17,0,0,7.05718994140625e-05,False,2
BFS,11,2904,57,102,0.006113529205322266,True,2
DFS,11,1032,965,2864,0.0026941299438476562,True,2
DLS50,11,335,0,0,0.0005934238433837891,False,2
DLS75,11,514,0,0,0.0014460086822509766,False,2
DLS100,11,569,0,0,0.0013873577117919922,False,2
UCS,11,934,57,102,0.0026738643646240234,True,2
A*,11,251,57,102,0.0008440017700195312,True,2
RANDOM,12,10,0,0,5.173683166503906e-05,False,1
BFS,12,3728,50,50,0.007990121841430664,True,1
DFS,12,3325,3052,3052,0.00941157341003418,True,1
DLS50,12,910,0,0,0.0015583038330078125,False,1
DLS75,12,1425,0,0,0.003918170928955078,False,1
DLS100,12,1585,0,0,0.0038323402404785156,False,1
UCS,12,3728,50,50,0.010856389999389648,True,1
A*,12,550,50,50,0.001641988754272461,True,1
RANDOM,12,36,0,0,7.319450378417969e-05,False,2
BFS,12,3728,50,329,0.008021354675292969,True,2
DFS,12,3325,3052,9001,0.009270906448364258,True,2
DLS50,12,910,0,0,0.0015339851379394531,False,2
DLS75,12,1425,0,0,0.003930330276489258,False,2
DLS100,12,1585,0,0,0.003685474395751953,False,2
UCS,12,5135,50,329,0.015434741973876953,True,2
A*,12,550,50,329,0.0017621517181396484,True,2
RANDOM,13,19,0,0,4.6253204345703125e-05,False,1
BFS,13,1592,41,41,0.0034530162811279297,True,1
DFS,13,5854,5539,5539,0.04216766357421875,True,1
DLS50,13,1280,0,0,0.0025353431701660156,False,1
DLS75,13,2512,0,0,0.008467674255371094,False,1
DLS100,13,2579,99,99,0.006289243698120117,True,1
UCS,13,1592,41,41,0.005555629730224609,True,1
A*,13,79,41,41,0.00030875205993652344,True,1
RANDOM,13,5,0,0,2.3603439331054688e-05,False,2
BFS,13,1592,41,383,0.0038280487060546875,True,2
DFS,13,5854,5539,18247,0.01839160919189453,True,2
DLS50,13,1280,0,0,0.002290487289428711,False,2
DLS75,13,2512,0,0,0.007502317428588867,False,2
DLS100,13,2579,99,513,0.005393266677856445,True,2
UCS,13,3670,41,383,0.011384248733520508,True,2
A*,13,79,41,383,0.0002911090850830078,True,2
RANDOM,14,7,0,0,2.09808349609375e-05,False,1
BFS,14,1082,35,35,0.002346515655517578,True,1
DFS,14,2914,2761,2761,0.00823068618774414,True,1
DLS50,14,386,0,0,0.0007176399230957031,False,1
DLS75,14,814,0,0,0.0022537708282470703,False,1
DLS100,14,491,0,0,0.0009827613830566406,False,1
UCS,14,1082,35,35,0.0031731128692626953,True,1
A*,14,89,35,35,0.0002918243408203125,True,1
RANDOM,14,2,0,0,1.2874603271484375e-05,False,2
BFS,14,1082,35,332,0.0021440982818603516,True,2
DFS,14,2914,2761,7648,0.008156061172485352,True,2
DLS50,14,386,0,0,0.0006949901580810547,False,2
DLS75,14,814,0,0,0.0022423267364501953,False,2
DLS100,14,491,0,0,0.000980377197265625,False,2
UCS,14,3887,35,332,0.011664152145385742,True,2
A*,14,88,35,332,0.0003120899200439453,True,2
RANDOM,15,18,0,0,3.337860107421875e-05,False,1
BFS,15,3041,47,47,0.006516933441162109,True,1
DFS,15,6982,6567,6567,0.04616904258728027,True,1
DLS50,15,65,47,47,0.00010824203491210938,True,1
DLS75,15,205,51,51,0.0005877017974853516,True,1
DLS100,15,670,51,51,0.001520395278930664,True,1
UCS,15,3041,47,47,0.010461807250976562,True,1
A*,15,181,47,47,0.00067138671875,True,1
RANDOM,15,36,0,0,0.00010371208190917969,False,2
BFS,15,3041,47,110,0.007272005081176758,True,2
DFS,15,6982,6567,20832,0.022871971130371094,True,2
DLS50,15,65,47,110,0.00010585784912109375,True,2
DLS75,15,205,51,114,0.0005671977996826172,True,2
DLS100,15,670,51,114,0.001466512680053711,True,2
UCS,15,1314,47,110,0.004612445831298828,True,2
A*,15,231,47,110,0.0008292198181152344,True,2
RANDOM,16,5,0,0,1.4781951904296875e-05,False,1
BFS,16,541,17,17,0.0012066364288330078,True,1
DFS,16,8861,3467,3467,0.0265195369720459,True,1
DLS50,16,775,49,49,0.0013155937194824219,True,1
DLS75,16,2637,0,0,0.007680177688598633,False,1
DLS100,16,3443,69,69,0.0073049068450927734,True,1
UCS,16,541,17,17,0.0015866756439208984,True,1
A*,16,63,17,17,0.00019979476928710938,True,1
RANDOM,16,6,0,0,2.5510787963867188e-05,False,2
BFS,16,541,17,71,0.0011074542999267578,True,2
DFS,16,8861,3467,11117,0.0518949031829834,True,2
DLS50,16,775,49,121,0.0015163421630859375,True,2
DLS75,16,2637,0,0,0.008933544158935547,False,2
DLS100,16,3443,69,249,0.008436918258666992,True,2
UCS,16,603,17,71,0.0026397705078125,True,2
A*,16,63,17,71,0.00023603439331054688,True,2
RANDOM,17,4,0,0,1.3828277587890625e-05,False,1
BFS,17,5163,62,62,0.01269674301147461,True,1
DFS,17,1757,1650,1650,0.0056803226470947266,True,1
DLS50,17,934,0,0,0.0018296241760253906,False,1
DLS75,17,732,72,72,0.0021479129791259766,True,1
DLS100,17,1175,86,86,0.002712726593017578,True,1
UCS,17,5163,62,62,0.015530824661254883,True,1
A*,17,729,62,62,0.0022161006927490234,True,1
RANDOM,17,8,0,0,2.9325485229492188e-05,False,2
BFS,17,5163,62,242,0.011502742767333984,True,2
DFS,17,1757,1650,5124,0.0047109127044677734,True,2
DLS50,17,934,0,0,0.0015773773193359375,False,2
DLS75,17,732,72,252,0.0018923282623291016,True,2
DLS100,17,1175,86,266,0.002408266067504883,True,2
UCS,17,3867,62,242,0.011634588241577148,True,2
A*,17,729,62,242,0.002319812774658203,True,2
RANDOM,18,20,0,0,8.106231689453125e-05,False,1
BFS,18,6674,96,96,0.014342546463012695,True,1
DFS,18,5596,5016,5016,0.015666723251342773,True,1
DLS50,18,919,0,0,0.0015544891357421875,False,1
DLS75,18,2025,0,0,0.006048440933227539,False,1
DLS100,18,3738,0,0,0.007877588272094727,False,1
UCS,18,6674,96,96,0.019379138946533203,True,1
A*,18,384,96,96,0.001203775405883789,True,1
RANDOM,18,13,0,0,5.054473876953125e-05,False,2
BFS,18,6674,96,150,0.014127492904663086,True,2
DFS,18,5596,5016,15150,0.015748977661132812,True,2
DLS50,18,919,0,0,0.0015594959259033203,False,2
DLS75,18,2025,0,0,0.005817890167236328,False,2
DLS100,18,3738,0,0,0.00797128677368164,False,2
UCS,18,1808,96,150,0.00602412223815918,True,2
A*,18,395,96,150,0.0012733936309814453,True,2
RANDOM,19,14,0,0,3.8623809814453125e-05,False,1
BFS,19,8709,89,89,0.01926279067993164,True,1
DFS,19,7185,6715,6715,0.04694700241088867,True,1
DLS50,19,1588,0,0,0.0031392574310302734,False,1
DLS75,19,1851,0,0,0.006317853927612305,False,1
DLS100,19,3601,0,0,0.008836030960083008,False,1
UCS,19,8709,89,89,0.027923583984375,True,1
A*,19,1711,89,89,0.005162239074707031,True,1
RANDOM,19,3,0,0,1.5020370483398438e-05,False,2
BFS,19,8709,89,413,0.01863384246826172,True,2
DFS,19,7185,6715,20701,0.02027726173400879,True,2
DLS50,19,1588,0,0,0.002719402313232422,False,2
DLS75,19,1851,0,0,0.005566835403442383,False,2
DLS100,19,3601,0,0,0.007689237594604492,False,2
UCS,19,7156,89,413,0.0229184627532959,True,2
A*,19,1711,89,413,0.00575566291809082,True,2
RANDOM,20,21,0,0,5.078315734863281e-05,False,1
BFS,20,1679,30,30,0.0035250186920166016,True,1
DFS,20,7773,7140,7140,0.048952579498291016,True,1
DLS50,20,856,0,0,0.001748800277709961,False,1
DLS75,20,1662,0,0,0.005923032760620117,False,1
DLS100,20,3793,0,0,0.009071588516235352,False,1
UCS,20,1679,30,30,0.005443096160888672,True,1
A*,20,157,30,30,0.0005478858947753906,True,1
RANDOM,20,16,0,0,4.291534423828125e-05,False,2
BFS,20,1679,30,246,0.004559516906738281,True,2
DFS,20,7773,7140,20748,0.024218082427978516,True,2
DLS50,20,856,0,0,0.0015041828155517578,False,2
DLS75,20,1662,0,0,0.0050928592681884766,False,2
DLS100,20,3793,0,0,0.00794219970703125,False,2
UCS,20,4010,30,246,0.012744426727294922,True,2
A*,20,157,30,246,0.0005023479461669922,True,2
RANDOM,21,28,0,0,6.699562072753906e-05,False,1
BFS,21,7637,108,108,0.01629018783569336,True,1
DFS,21,7834,2700,2700,0.022095441818237305,True,1
DLS50,21,1234,0,0,0.002139568328857422,False,1
DLS75,21,2096,0,0,0.006041765213012695,False,1
DLS100,21,3730,0,0,0.007879257202148438,False,1
UCS,21,7637,108,108,0.04906606674194336,True,1
A*,21,2599,108,108,0.009028196334838867,True,1
RANDOM,21,11,0,0,3.552436828613281e-05,False,2
BFS,21,7637,108,495,0.02294468879699707,True,2
DFS,21,7834,2700,7515,0.02196478843688965,True,2
DLS50,21,1234,0,0,0.002118825912475586,False,2
DLS75,21,2096,0,0,0.006222248077392578,False,2
DLS100,21,3730,0,0,0.007938146591186523,False,2
UCS,21,8148,108,495,0.025243520736694336,True,2
A*,21,2599,108,495,0.008603811264038086,True,2
RANDOM,22,6,0,0,1.6689300537109375e-05,False,1
BFS,22,6610,79,79,0.014212608337402344,True,1
DFS,22,7786,6919,6919,0.02240896224975586,True,1
DLS50,22,1266,0,0,0.002214670181274414,False,1
DLS75,22,1780,0,0,0.0054590702056884766,False,1
DLS100,22,1974,0,0,0.004262208938598633,False,1
UCS,22,6610,79,79,0.04550361633300781,True,1
A*,22,945,79,79,0.0033774375915527344,True,1
RANDOM,22,4,0,0,1.8835067749023438e-05,False,2
BFS,22,6610,79,601,0.01624131202697754,True,2
DFS,22,7786,6919,21175,0.02511000633239746,True,2
DLS50,22,1266,0,0,0.0024673938751220703,False,2
DLS75,22,1780,0,0,0.005970001220703125,False,2
DLS100,22,1974,0,0,0.004593372344970703,False,2
UCS,22,7524,79,601,0.022947311401367188,True,2
A*,22,945,79,601,0.0030422210693359375,True,2
RANDOM,23,19,0,0,5.054473876953125e-05,False,1
BFS,23,2210,47,47,0.00455784797668457,True,1
DFS,23,6398,5667,5667,0.017952680587768555,True,1
DLS50,23,961,0,0,0.0016541481018066406,False,1
DLS75,23,1541,0,0,0.004750728607177734,False,1
DLS100,23,1857,0,0,0.0040912628173828125,False,1
UCS,23,2210,47,47,0.00620579719543457,True,1
A*,23,110,47,47,0.0003714561462402344,True,1
RANDOM,23,8,0,0,3.0517578125e-05,False,2
BFS,23,2210,47,443,0.005051612854003906,True,2
DFS,23,6398,5667,17799,0.044594764709472656,True,2
DLS50,23,961,0,0,0.002001047134399414,False,2
DLS75,23,1541,0,0,0.005643606185913086,False,2
DLS100,23,1857,0,0,0.004897356033325195,False,2
UCS,23,4973,47,443,0.017373323440551758,True,2
A*,23,108,47,443,0.00044274330139160156,True,2
RANDOM,24,34,0,0,9.250640869140625e-05,False,1
BFS,24,8097,132,132,0.019361257553100586,True,1
DFS,24,1383,1264,1264,0.003941535949707031,True,1
DLS50,24,673,0,0,0.0012378692626953125,False,1
DLS75,24,1108,0,0,0.0033080577850341797,False,1
DLS100,24,1957,0,0,0.004032611846923828,False,1
