algorithm,n,seed,time,nodes,found
csp,8,13,0.018558502197265625,1995,1
csp,8,14,0.018686771392822266,1995,1
csp,8,15,0.019132137298583984,1995,1
csp,8,16,0.018670320510864258,1995,1
csp,8,17,0.018800735473632812,1995,1
csp,8,18,0.019408464431762695,1995,1
csp,8,19,0.019234895706176758,1995,1
csp,8,20,0.01845693588256836,1995,1
csp,8,21,0.01898193359375,1995,1
csp,8,22,0.01905965805053711,1995,1
csp,8,23,0.018972158432006836,1995,1
csp,8,24,0.018631935119628906,1995,1
csp,8,25,0.01918315887451172,1995,1
csp,8,26,0.01905369758605957,1995,1
csp,8,27,0.018527507781982422,1995,1
csp,8,28,0.019313573837280273,1995,1
csp,8,29,0.019426584243774414,1995,1
csp,8,30,0.018974781036376953,1995,1
csp,10,1,0.8070230484008789,76018,1
csp,10,2,0.886533260345459,76018,1
csp,10,3,0.845818042755127,76018,1
csp,10,4,0.9143843650817871,76018,1
csp,10,5,0.8452975749969482,76018,1
csp,10,6,0.8452084064483643,76018,1
csp,10,7,0.9044435024261475,76018,1
csp,10,8,0.8714485168457031,76018,1
csp,10,9,0.8697078227996826,76018,1
csp,10,10,0.8465371131896973,76018,1
csp,10,11,0.9474599361419678,76018,1
csp,10,12,0.8722043037414551,76018,1
csp,10,13,0.8890738487243652,76018,1
csp,10,14,0.8984804153442383,76018,1
csp,10,15,0.9964902400970459,76018,1
csp,10,16,0.9413886070251465,76018,1
csp,10,17,0.9568707942962646,76018,1
csp,10,18,0.9359605312347412,76018,1
csp,10,19,0.8639023303985596,76018,1
csp,10,20,1.039844274520874,76018,1
csp,10,21,0.862440824508667,76018,1
csp,10,22,0.9721367359161377,76018,1
csp,10,23,0.9714522361755371,76018,1
csp,10,24,0.989649772644043,76018,1
csp,10,25,0.9038081169128418,76018,1
csp,10,26,0.8148705959320068,76018,1
csp,10,27,0.8805806636810303,76018,1
csp,10,28,0.8530910015106201,76018,1
csp,10,29,0.9410104751586914,76018,1
csp,10,30,0.9348604679107666,76018,1
